# H0 	 step_size 	 minimizer_time 
67.81 	 0.1 	 2389.68 
67.91 	 0.1 	 2393.38 
68.01 	 0.1 	 2373.41 
68.11 	 0.1 	 2377.19 
68.21 	 0.1 	 2359.10 
68.31 	 0.1 	 2418.70 
68.41 	 0.1 	 2375.81 
68.51 	 0.1 	 2370.05 
68.61 	 0.1 	 2364.70 
68.71 	 0.1 	 2396.74 
68.81 	 0.1 	 2363.63 
68.91 	 0.1 	 2371.18 
69.01 	 0.1 	 2333.07 
69.11 	 0.1 	 2342.84 
69.21 	 0.1 	 2342.86 
69.31 	 0.1 	 2350.81 
69.41 	 0.1 	 2369.70 
69.51 	 0.1 	 2256.29 
69.61 	 0.1 	 2310.29 
69.71 	 0.1 	 2292.07 
69.81 	 0.1 	 2293.00 
69.91 	 0.1 	 2259.11 
# H0 	 step_size 	 minimizer_time 
