# H0 	 step_size 	 minimizer_time 
67.61 	 -0.1 	 2390.17 
67.51 	 -0.1 	 2374.16 
67.41 	 -0.1 	 2376.45 
67.31 	 -0.1 	 2384.39 
67.21 	 -0.1 	 2372.16 
67.11 	 -0.1 	 2386.42 
67.01 	 -0.1 	 2371.10 
66.91 	 -0.1 	 2381.28 
66.81 	 -0.1 	 2364.00 
66.71 	 -0.1 	 2442.48 
66.61 	 -0.1 	 2391.40 
66.51 	 -0.1 	 2423.67 
66.41 	 -0.1 	 2363.48 
66.31 	 -0.1 	 2432.84 
66.21 	 -0.1 	 2432.47 
66.11 	 -0.1 	 2363.66 
66.01 	 -0.1 	 2399.45 
65.91 	 -0.1 	 2430.70 
65.81 	 -0.1 	 2418.33 
65.71 	 -0.1 	 2403.75 
65.61 	 -0.1 	 2399.45 
65.51 	 -0.1 	 2411.70 
65.41 	 -0.1 	 2419.58 
65.31 	 -0.1 	 2407.03 
65.21 	 -0.1 	 2431.01 
65.11 	 -0.1 	 2443.81 
65.01 	 -0.1 	 2458.85 
